name,slug,abbr,artist,cover,debut,last_played,times_played
(I Can't Get No) Satisfaction,i-cant-get-no-satisfaction,,The Rolling Stones,TRUE,2022-02-25,2022-02-25,1
...And Flew Away,and-flew-away,,Trey Anastasio,TRUE,2023-07-14,2023-07-14,1
1999,1999,,Prince,TRUE,1998-12-31,2022-08-13,4
20-20 Vision,20-20-vision,,Gene Autry,TRUE,2019-12-28,2019-12-28,1
46 Days,46-days,,Phish,FALSE,2003-01-02,2024-08-31,146
50 Ways to Leave Your Lover,50-ways-to-leave-your-lover,,Paul Simon,TRUE,2011-08-08,2011-08-08,1
555,555,,Phish,FALSE,2013-10-31,2024-08-07,66
5:15,515,,The Who,TRUE,1995-10-31,1995-10-31,1
99 Problems,99-problems,,Jay-Z,TRUE,2004-06-18,2004-06-18,1
A Apolitical Blues,a-apolitical-blues,,Little Feat,TRUE,2010-10-31,2010-10-31,1
A Day in the Life,a-day-in-the-life,ADITL,The Beatles,TRUE,1995-06-10,2024-08-02,73
A Life Beyond The Dream,a-life-beyond-the-dream,,Ghosts of the Forest,TRUE,2019-06-19,2024-09-01,32
A Song I Heard the Ocean Sing,a-song-i-heard-the-ocean-sing,ASIHTOS,Phish,FALSE,2004-06-17,2024-07-28,49
A Wave of Hope,a-wave-of-hope,,Trey Anastasio,TRUE,2021-08-07,2024-08-29,29
AC/DC Bag,acdc-bag,Bag,Phish,FALSE,1986-04-01,2024-08-18,333
About to Run,about-to-run,,Ghosts of the Forest,TRUE,2019-06-12,2024-08-07,24
Access Me,access-me,,Phish,FALSE,2004-06-26,2019-08-31,6
Acoustic Army,acoustic-army,,Phish,FALSE,1995-06-07,1995-12-08,27
After Midnight,after-midnight,,J.J. Cale,TRUE,1999-12-31,2019-12-08,7
Ain't Love Funny,aint-love-funny,,J.J. Cale,TRUE,1997-06-20,1997-08-09,3
Alaska,alaska,,Trey Anastasio,TRUE,2009-06-09,2024-02-21,43
Albuquerque,albuquerque,,Neil Young,TRUE,1998-07-26,2023-10-13,17
All Along the Watchtower,all-along-the-watchtower,,Bob Dylan,TRUE,1994-04-21,1996-10-22,2
All Blues,all-blues,,Miles Davis,TRUE,1986-04-25,1989-02-06,3
All Down the Line,all-down-the-line,,The Rolling Stones,TRUE,2009-10-31,2009-10-31,1
All That You Dream,all-that-you-dream,,Little Feat,TRUE,2010-10-31,2010-10-31,1
All Things Reconsidered,all-things-reconsidered,ATR,Phish,FALSE,1991-09-25,1997-02-23,81
All of These Dreams,all-of-these-dreams,,Phish,FALSE,2003-01-03,2023-04-17,15
All the Pain Through the Years,all-the-pain-through-the-years,,Seth Yacovone,TRUE,1998-11-29,1998-11-29,1
Also Sprach Zarathustra,also-sprach-zarathustra,2001,"Strauss, as interpreted by Deodato",TRUE,1993-07-16,2024-08-29,263
Alumni Blues,alumni-blues,Alumni,Phish,FALSE,1985-03-16,2023-07-12,112
Amazing Grace,amazing-grace,,Traditional,TRUE,1993-02-03,1998-10-03,109
Ambient Jam,ambient-jam,,Phish,FALSE,1998-08-15,1998-08-15,1
American Woman,american-woman,,The Guess Who,TRUE,1989-03-01,1989-03-01,1
Amidst the Peals of Laughter,amidst-the-peals-of-laughter,,Phish,FALSE,2013-10-31,2013-10-31,1
Amoreena,amoreena,,Elton John,TRUE,1997-08-13,1997-08-13,1
Anarchy,anarchy,,Phish,FALSE,1985-03-04,1989-10-14,11
And So To Bed,and-so-to-bed,,Phish,FALSE,2021-10-15,2021-10-15,1
Andy's Chest,andys-chest,,Lou Reed,TRUE,1988-09-13,1988-09-13,1
Any Colour You Like,any-colour-you-like,,Pink Floyd,TRUE,1998-11-02,1998-11-02,1
Anything But Me,anything-but-me,,Phish,FALSE,2003-01-04,2011-08-15,12
Arc,arc-neil-young,,Neil Young,TRUE,1998-10-03,1998-10-03,1
Architect,architect,,Trey Anastasio,TRUE,2013-07-06,2013-07-31,4
Army of One,army-of-one,,Phish,FALSE,2003-07-12,2023-07-26,27
Art Jam,art-jam,,Phish,FALSE,1997-08-17,1997-08-17,1
Ass Handed,ass-handed,,Phish,FALSE,2016-07-15,2023-07-22,18
Auld Lang Syne,auld-lang-syne,,Traditional,TRUE,1989-12-30,2023-12-31,27
Autumn Leaves,autumn-leaves,,Jo Stafford,TRUE,1989-08-12,1989-08-12,1
Avenu Malkenu,avenu-malkenu,,Traditional,TRUE,1987-05-11,2022-04-21,83
Axilla,axilla,,Phish,FALSE,1992-11-19,2024-08-18,113
Axilla (Part II),axilla-part-ii,,Phish,FALSE,1994-04-16,2024-08-31,57
Baby Elephant Walk,baby-elephant-walk,,Henry Mancini,TRUE,1992-12-01,1998-08-16,2
Baby Lemonade,baby-lemonade,,Syd Barrett,TRUE,1992-03-11,2021-12-31,2
Babylon Baby,babylon-baby,,Mike Gordon,TRUE,2011-08-15,2013-08-02,3
Babylon is Burning,babylon-is-burning,,,TRUE,1986-02-03,1986-02-03,1
Back Porch Boogie Blues,back-porch-boogie-blues,,Max Creek,TRUE,1985-09-27,1987-10-31,9
Back at the Chicken Shack,back-at-the-chicken-shack,,Jimmy Smith,TRUE,1998-10-30,2000-09-24,8
Back in the Bubble,back-in-the-bubble,,Mike Gordon,TRUE,2023-08-04,2023-08-04,1
Back in the U.S.S.R.,back-in-the-ussr,,The Beatles,TRUE,1994-10-31,2013-10-23,3
Back on the Train,back-on-the-train,BOTT,Trey Anastasio,TRUE,1999-06-30,2024-08-30,157
Backwards Down the Number Line,backwards-down-the-number-line,BDTNL,Trey Anastasio,TRUE,2009-03-06,2024-08-17,138
Band/Crew Football Theme Song,bandcrew-football-theme-song,,Phish,FALSE,1991-04-16,1992-05-02,2
Bathtub Gin,bathtub-gin,Gin,Phish,FALSE,1989-05-26,2024-08-31,307
Beaumont Rag,beaumont-rag,,Traditional,TRUE,1994-10-12,1994-10-26,4
Beauty of My Dreams,beauty-of-my-dreams,,The Del McCoury Band,TRUE,1997-02-16,2024-08-06,55
